author,comment,voteCount,replyCount,channel,country
@vladimpaler5733,I know the deference jews and zionist my brother muslims jews christian is brothers but zionist not a humen he is Evil who not seeing muslims jews christian they just killed people innocent kids  am crying everday to seeing innocent children both sides the reason is zionist lobby they zionist don't care who daying jews muslims christian israeli palestinian they just stealing land for political benifits,0,0,TRT Word,Turkey
@andrewstryker3549,"There were Jews who sent Jews to the chambers. 
So what is your point. 
How about talking about Palestinians and Arab countries that kill Palestinians. 
And Palestinians like Hamas who uses children as cannon fodder. 
Now that would be an interesting perspective.",0,1,TRT Word,Turkey
@Nasser-nq8nf,"True jews are against zionism and will condemn genocide against any people. Thank you for all jews who speak out against killing and oppression of palestinians, your voice brings hope to the forgotten oppressed palestinians",0,0,TRT Word,Turkey
@sabiahamid6224,Great interview,2,0,TRT Word,Turkey
@theenlightenedone1283,"We need to adapt the kindness and mercy of Jacob ( Israel ) and Joseph

-an enlightened Israelite",6,1,TRT Word,Turkey
@theenlightenedone1283,"The Israelites Christian and muslim r waiting for the Promised Messiah

He has come",1,0,TRT Word,Turkey
@theenlightenedone1283,"Hama$ is Mo$$@d 

The innocent Israeli and Palestinians don't want war",1,0,TRT Word,Turkey
@theenlightenedone1283, is not of Israelites it's of the evil Jewish government ... the name should be changed to Jewishland,1,0,TRT Word,Turkey
@user-wb6su3ww6x,Thank you good guy. You obviously have a good heart and have common sense and know history and what's actually going on.,0,0,TRT Word,Turkey
@AscherDJones,"Exactly!! the Israeli Flag does not represent Judaism..!! To be againts Israels military action is not Antisemitism,,It´s a call for peace !! we need more real Jews spaek up to derail the Narrative pushed by Meanstream Media.",0,0,TRT Word,Turkey
@sandrajones1609,Much Gratitude For Fearless Integrity ✌️,5,0,TRT Word,Turkey
@nedal1alex123,"Ah, yes, the caste that believes the entire world is theirs, not just a tiny strip of land.",0,0,TRT Word,Turkey
